•Èid;participant.code;participant.time_started_utc;player.treatment;player.sReward;player.iTrialDec;player.iDec;player.iDec2;player.EmotionalStatus;player.sTag1;player.sTag2;player.sTag3;tag.effort;player.iLikes;player.iDislikes;player.dRTDec1;player.dRTFeed;player.dRTPost;player.dRTTags;player.dRTFeedback;player.dRTEmotionalStatus;Totaltrial;LATENCY;subsession.round_number;session.code
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;Post;;46;33;;;;;30;10;4745;;39887;5788;3655;4077;58,152;;1;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;See;1;;;;;;;;;7222;6013;;;;;13,235;;2;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;Post;;8;44;#socialsituations;;;;29;11;1942;;22316;15098;1823;5677;46,856;;3;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;Post;;14;43;;;;;28;12;2582;;19860;12331;3982;4332;43,087;;4;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;Post;;19;41;;;;;29;11;1526;;14253;1199;1364;1805;20,147;;5;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;Post;;4;76;#multicultural;;;;34;6;3319;;22977;11847;1674;4750;44,567;;6;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;Post;;52;37;#thicc;#ishouldbesleeping;;;28;12;1599;;26892;21893;1682;5926;57,992;;7;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;Post;;32;79;#science;;;;33;7;1567;;8890;5542;1390;8910;26,299;;8;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;See;1;;;;;;;;;1822;5126;;;;;6,948;;9;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;Post;;53;50;#history;#motherrussia;;;29;11;1436;;10505;10270;1292;2054;25,557;;10;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;Post;;3;46;#spreadyourseed;;;;29;11;1442;;5328;32017;1031;2285;42,103;;11;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;See;1;;;;;;;;;1263;5572;;;;;6,835;;12;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;See;1;;;;;;;;;2378;4634;;;;;7,012;;13;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;See;1;;;;;;;;;1450;6664;;;;;8,114;;14;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;Post;;21;45;;;;;29;11;1233;;15381;1492;1299;2050;21,455;;15;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;Post;;15;37;;;;;28;12;4444;;6650;2545;1040;2595;17,274;;16;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;Post;;5;48;;;;;30;10;1556;;10680;1311;1584;2525;17,656;;17;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;Post;;56;50;;;;;29;11;1455;;8777;1494;3294;1255;16,275;;18;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;See;1;;;;;;;;;3006;5743;;;;;8,749;;19;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;HR;See;1;;;;;;;;;1098;3931;;;;;5,029;;20;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;Post;;117;10;;;;;23;17;974;;18004;2240;1326;4015;26,559;;21;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;See;1;;;;;;;;;1593;9064;;;;;10,657;;22;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;Post;;154;15;;;;;21;19;2124;;14276;2032;1356;4357;24,145;;23;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;Post;;148;13;;;;;22;18;2605;;15203;1698;1128;3388;24,022;;24;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;See;1;;;;;;;;;1707;3307;;;;;5,014;;25;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;See;1;;;;;;;;;934;4441;;;;;5,375;;26;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;Post;;113;1;;;;;21;19;1189;;6424;1274;6599;4364;19,85;;27;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;Post;;143;8;;;;;22;18;6782;;18276;1395;1165;2714;30,332;;28;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;Post;;141;1;;;;;23;17;1538;;14681;1418;1278;3714;22,629;;29;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;See;1;;;;;;;;;3572;4795;;;;;8,367;;30;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;See;2;;;;;;;;;916;13770;;;;;14,686;;31;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;See;1;;;;;;;;;1844;3765;;;;;5,609;;32;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;Post;;162;1;;;;;18;22;1452;;26967;1789;1499;2188;33,895;;33;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;Post;;149;10;;;;;18;22;1527;;12105;1864;1187;2631;19,314;;34;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;Post;;140;25;;;;;20;20;2523;;9983;1924;1214;1999;17,643;;35;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;Post;;133;23;#integrity;;;;17;23;3796;;9939;8091;1084;6066;28,976;;36;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;See;1;;;;;;;;;1379;4852;;;;;6,231;;37;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;See;1;;;;;;;;;2021;6058;;;;;8,079;;38;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;See;1;;;;;;;;;1589;6241;;;;;7,83;;39;8kaqlr1z
1;r50gu0c5;2021-06-02 14:44:09.395734;Emotional;LR;See;2;;;;;;;;;1245;1648;;;;;2,893;;40;8kaqlr1z
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;See;1;;;;;;;;;3049;7986;;;;;11,035;;1;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;See;1;;;;;;;;;2202;7734;;;;;9,936;;2;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;See;1;;;;;;;;;984;4114;;;;;5,098;;3;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;Post;;34;70;oops;;;;29;11;1461;;33783;11262;5434;11986;63,926;;4;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;See;2;;;;;;;;;9728;11283;;;;;21,011;;5;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;See;1;;;;;;;;;878;4528;;;;;5,406;;6;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;See;1;;;;;;;;;948;6754;;;;;7,702;;7;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;See;1;;;;;;;;;1051;7573;;;;;8,624;;8;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;Post;;39;68;;;;;28;12;837;;22649;13863;1568;3196;42,113;;9;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;See;1;;;;;;;;;1393;5662;;;;;7,055;;10;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;See;1;;;;;;;;;728;7398;;;;;8,126;;11;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;See;1;;;;;;;;;918;3237;;;;;4,155;;12;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;Post;;30;59;thesis be like;maybe not;we professionals;;30;10;857;;22689;17763;2029;3805;47,143;;13;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;See;1;;;;;;;;;2745;5952;;;;;8,697;;14;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;See;1;;;;;;;;;922;8909;;;;;9,831;;15;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;See;2;;;;;;;;;1160;10957;;;;;12,117;;16;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;See;1;;;;;;;;;1240;3208;;;;;4,448;;17;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;Post;;26;60;eheheheheh;;;;28;12;1031;;39158;14206;1147;3015;58,557;;18;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;See;1;;;;;;;;;2011;1820;;;;;3,831;;19;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;HR;See;1;;;;;;;;;728;5071;;;;;5,799;;20;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;836;2167;;;;;3,003;;21;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;877;6380;;;;;7,257;;22;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;789;5468;;;;;6,257;;23;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;Post;;140;59;be coolzzz;;;;20;20;1191;;28400;11705;2520;3245;47,061;;24;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;1912;6087;;;;;7,999;;25;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;707;7226;;;;;7,933;;26;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;901;8331;;;;;9,232;;27;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;976;6032;;;;;7,008;;28;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;1137;2643;;;;;3,78;;29;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;Post;;125;42;so am I;;;;22;18;1202;;29294;20726;1438;2198;54,858;;30;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;5258;3824;;;;;9,082;;31;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;516;3200;;;;;3,716;;32;92guuws5
2;kmism3d2;2021-06-01 11:53:35.584855;Emotional;LR;See;1;;;;;;;;;639;5722;;;;;6,361;;33;92guuws5
