session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
6d5fbgdo,1,qrj15ku8,1,meme_game,MyPage,1619791219,1,0,0
d1buljtj,1,87ssyleh,1,meme_game,MyPage,1619794249,1,0,0
g6z7i3sn,1,6n1xrkb2,1,meme_game,MyPage,1620047124,1,0,0
wnk37mpj,1,y6ieash8,1,meme_game,MyPage,1620047909,1,0,0
wof0jh0a,2,qdmim401,1,meme_game,ToMemeOrNotToMeme,1620050825,1,0,0
79uimb0a,1,1p6dgdxs,1,meme_game,ToMemeOrNotToMeme,1620057072,1,0,0
79uimb0a,2,546ubxgd,1,meme_game,ToMemeOrNotToMeme,1620058171,1,0,0
79uimb0a,2,546ubxgd,2,meme_game,MyPage,1620058387,1,0,0
xsxk1f7b,1,o3ybkvhv,1,meme_game,ToMemeOrNotToMeme,1620236807,1,0,0
q0t4ubjc,2,m26k2pd0,1,meme_game,ToMemeOrNotToMeme,1620237884,1,0,0
q0t4ubjc,1,gmsn2mvj,1,meme_game,ToMemeOrNotToMeme,1620238064,1,0,0
8kbrch0o,1,fhn0kzzj,1,meme_game,ToMemeOrNotToMeme,1620243284,1,0,0
ws4puort,1,x7efqs46,1,meme_game,ToMemeOrNotToMeme,1620243526,1,0,0
s35x0z0v,1,ze1oqn88,1,meme_game,ToMemeOrNotToMeme,1620298603,1,0,0
s35x0z0v,1,ze1oqn88,2,meme_game,MyPage,1620298607,1,0,0
s35x0z0v,1,ze1oqn88,3,meme_game,addTags,1620298614,1,0,0
s35x0z0v,1,ze1oqn88,4,meme_game,HowDoYaFeel,1620298621,1,0,0
21moixfa,1,rh1i1855,1,meme_game,ToMemeOrNotToMeme,1620298833,1,0,0
21moixfa,1,rh1i1855,2,meme_game,MyPage,1620298835,1,0,0
21moixfa,1,rh1i1855,3,meme_game,addTags,1620298839,1,0,0
21moixfa,1,rh1i1855,4,meme_game,HowDoYaFeel,1620299732,1,0,0
s8sjjxci,1,cxi5w0pp,1,meme_game,ToMemeOrNotToMeme,1620299773,1,0,0
s8sjjxci,1,cxi5w0pp,2,meme_game,MyPage,1620299775,1,0,0
s8sjjxci,1,cxi5w0pp,3,meme_game,addTags,1620299781,1,0,0
bt7pq428,1,c9c70gsd,1,meme_game,ToMemeOrNotToMeme,1620300277,1,0,0
bt7pq428,1,c9c70gsd,2,meme_game,MyPage,1620300278,1,0,0
bt7pq428,1,c9c70gsd,3,meme_game,addTags,1620300282,1,0,0
bt7pq428,1,c9c70gsd,4,meme_game,HowDoYaFeel,1620300637,1,0,0
bt7pq428,2,mehw790f,1,meme_game,ToMemeOrNotToMeme,1620301070,1,0,0
bt7pq428,3,y6w8nuli,1,meme_game,ToMemeOrNotToMeme,1620301186,1,0,0
bt7pq428,3,y6w8nuli,2,meme_game,MyPage,1620301187,1,0,0
bt7pq428,3,y6w8nuli,3,meme_game,addTags,1620301191,1,0,0
bt7pq428,3,y6w8nuli,4,meme_game,HowDoYaFeel,1620301270,1,0,0
bt7pq428,4,lxz0c8ot,1,meme_game,ToMemeOrNotToMeme,1620301318,1,0,0
ctrgi3yn,1,unr6rk75,1,meme_game,ToMemeOrNotToMeme,1620301518,1,0,0
msxaifck,1,fw9om9yi,1,meme_game,ToMemeOrNotToMeme,1620301845,1,0,0
cndxa1kd,1,v788pa47,1,meme_game,ToMemeOrNotToMeme,1620302075,1,0,0
zt9cxzvc,1,9vg2m6nj,1,meme_game,ToMemeOrNotToMeme,1620308553,1,0,0
zt9cxzvc,1,9vg2m6nj,2,meme_game,HowDoYaFeel,1620308555,1,0,0
zt9cxzvc,1,9vg2m6nj,3,meme_game,MyPage,1620308584,1,0,0
zt9cxzvc,1,9vg2m6nj,4,meme_game,addTags,1620308588,1,0,0
7moj3vk9,1,xm7leu3e,1,meme_game,ToMemeOrNotToMeme,1620308649,1,0,0
7moj3vk9,1,xm7leu3e,2,meme_game,HowDoYaFeel,1620308651,1,0,0
7moj3vk9,1,xm7leu3e,3,meme_game,MyPage,1620308847,1,0,0
ym4vwchx,1,2w9pcove,1,meme_game,ToMemeOrNotToMeme,1620312632,1,0,0
cnv6s71j,1,ynqrijzo,1,meme_game,ToMemeOrNotToMeme,1620313213,1,0,0
leuoj47m,1,cj082lpq,1,meme_game,ToMemeOrNotToMeme,1620313341,1,0,0
corcukmk,1,s0cwd55x,1,meme_game,ToMemeOrNotToMeme,1620314475,1,0,0
tllcof8z,1,f3a8gqnt,1,meme_game,ToMemeOrNotToMeme,1620314822,1,0,0
5xa00gsv,1,v7zvbtf5,1,meme_game,ToMemeOrNotToMeme,1620314931,1,0,0
